threshold,fn,fp,total_cost
0.0,0,63927,63927.0
0.09813365442504515,399,61752,65742.0
0.12121212121212122,1300,49971,62971.0
0.1319796954314721,1366,49234,62894.0
0.14285714285714285,2812,32168,60288.0
0.15831663326653306,2961,31230,60840.0
0.20159151193633953,3569,27306,62996.0
0.2512315270935961,4063,24048,64678.0
0.25812619502868067,4666,20535,67195.0
0.2670807453416149,5212,17444,69564.0
0.2894736842105263,5405,16504,70554.0
0.2982689747003995,5457,16227,70797.0
0.30434782608695654,6311,11978,75088.0
0.32,6347,11857,75327.0
0.35185185185185186,6716,10442,77602.0
0.38898756660746003,6841,9949,78359.0
0.430622009569378,7621,7478,83688.0
0.4385026737967914,7857,6795,85365.0
0.46724890829694316,8111,6053,87163.0
0.4864864864864864,8447,5204,89674.0
0.48822269807280516,8869,4372,93062.0
0.5798816568047337,9982,2489,102309.0
0.6551724137931035,10428,1927,106207.0
0.825,11250,862,113362.0
0.9923371647509579,11650,576,117076.0
